,personid,quitjob,age,costofcommute,children,expgroup,men,married,perform10,perform11,perform10_expgroup,perform11_expgroup
63,19482,0.0,23.0,12.0,no,1,1.0,0.0,-0.07180492,-0.96165556,-0.07180492,-0.96165556
64,19684,1.0,22.0,14.0,no,0,0.0,0.0,-0.35024676,-0.6102638,0.0,0.0
65,21604,0.0,24.0,16.0,no,0,0.0,0.0,-0.14736283,0.07015803,0.0,0.0
66,21648,0.0,26.0,3.5,yes,0,1.0,1.0,-0.57803303,-0.8759282,0.0,0.0
67,21654,0.0,29.0,2.0,no,1,0.0,0.0,0.62046653,0.83090574,0.62046653,0.83090574
68,21710,0.0,30.0,4.0,no,1,1.0,1.0,-0.46703142,-0.75817186,-0.46703142,-0.75817186
69,22022,0.0,22.0,4.0,no,0,0.0,0.0,0.61049986,-0.70168906,0.0,0.0
70,22284,0.0,21.0,0.0,yes,1,0.0,1.0,0.62982976,0.4951057,0.62982976,0.4951057
71,23126,0.0,23.0,6.0,no,0,0.0,0.0,1.1817473,0.62603754,0.0,0.0
72,23136,0.0,22.0,3.0,no,1,1.0,0.0,0.12801115,-0.20964299,0.12801115,-0.20964299
73,23228,0.0,23.0,0.0,no,1,0.0,1.0,0.8753935,1.0998179,0.8753935,1.0998179
74,23622,0.0,25.0,10.0,no,1,1.0,0.0,1.3078856,1.5508392,1.3078856,1.5508392
75,23742,0.0,21.0,8.0,no,0,1.0,0.0,-0.630301,-0.760747,0.0,0.0
76,23772,0.0,21.0,0.0,no,1,1.0,0.0,-0.40484375,-0.059034638,-0.40484375,-0.059034638
77,24142,0.0,29.0,12.0,no,1,0.0,0.0,1.1921102,1.3746165,1.1921102,1.3746165
78,24146,0.0,24.0,12.0,no,0,1.0,0.0,-0.6667007,-1.0818157,0.0,0.0
79,24324,1.0,23.0,25.0,no,1,1.0,0.0,-0.2764601,-1.2298135,-0.2764601,-1.2298135
80,24608,0.0,34.0,3.0,yes,1,0.0,1.0,-0.62254584,-0.35968643,-0.62254584,-0.35968643
81,25056,0.0,23.0,2.0,no,0,0.0,0.0,-0.2744104,-0.17747682,0.0,0.0
82,25258,0.0,26.0,4.0,no,0,1.0,0.0,-0.13678674,-0.20638765,0.0,0.0
83,25520,0.0,24.0,6.0,no,1,1.0,0.0,-0.76568514,-0.75927514,-0.76568514,-0.75927514
84,25532,0.0,25.0,12.0,no,1,1.0,0.0,-0.44592518,-0.35810113,-0.44592518,-0.35810113
85,25628,0.0,24.0,10.0,no,1,0.0,0.0,0.70293033,0.98837906,0.70293033,0.98837906
86,25638,0.0,26.0,10.0,no,1,0.0,0.0,0.04445661,-0.14800061,0.04445661,-0.14800061
87,25700,0.0,27.0,0.0,no,1,1.0,0.0,-0.7591874,-0.79043657,-0.7591874,-0.79043657
88,25864,0.0,20.0,0.0,no,0,0.0,0.0,0.5322725,0.8129766,0.0,0.0
89,25940,0.0,24.0,10.0,no,1,0.0,1.0,0.5240536,-0.70730287,0.5240536,-0.70730287
90,25962,0.0,24.0,4.0,yes,1,1.0,1.0,-0.2395724,-0.33794653,-0.2395724,-0.33794653
91,26328,0.0,22.0,0.0,no,1,1.0,0.0,-1.2317928,-1.0658501,-1.2317928,-1.0658501
92,26618,0.0,24.0,0.0,no,1,1.0,0.0,-0.78081286,-1.0995302,-0.78081286,-1.0995302
93,26634,1.0,26.0,2.0,no,0,0.0,0.0,0.41352496,-0.0620371,0.0,0.0
94,26906,1.0,24.0,10.0,no,0,0.0,0.0,0.009408872,-1.1609126,0.0,0.0
95,26934,1.0,24.0,6.0,no,1,0.0,0.0,0.3413272,0.73312837,0.3413272,0.73312837
96,27704,0.0,26.0,4.0,no,0,0.0,0.0,0.42826033,0.25943702,0.0,0.0
97,28190,0.0,25.0,10.0,no,0,0.0,0.0,0.08554956,-0.32081997,0.0,0.0
98,28224,0.0,27.0,0.0,yes,0,1.0,1.0,0.10593522,-0.06665947,0.0,0.0
99,28226,0.0,23.0,15.0,no,1,1.0,0.0,-0.9718298,-0.8668408,-0.9718298,-0.8668408
100,28470,0.0,24.0,30.0,no,1,1.0,0.0,-0.55329293,0.45698383,-0.55329293,0.45698383
101,28484,1.0,23.0,5.0,yes,0,0.0,1.0,0.12908998,0.10130973,0.0,0.0
102,28492,0.0,24.0,0.0,no,1,0.0,0.0,-0.92371774,-1.1500096,-0.92371774,-1.1500096
103,28560,1.0,20.0,10.0,no,0,0.0,0.0,0.10675242,-1.3933356,0.0,0.0
104,29024,1.0,26.0,10.0,no,0,1.0,0.0,-0.7358923,-1.3392234,0.0,0.0
105,29032,1.0,23.0,9.0,no,1,1.0,0.0,-0.3898447,-0.8117945,-0.3898447,-0.8117945
106,29172,0.0,26.0,9.0,no,0,1.0,0.0,0.634947,0.5122012,0.0,0.0
107,29216,0.0,26.0,30.0,no,1,1.0,0.0,0.4030235,-0.7402768,0.4030235,-0.7402768
108,29230,1.0,24.0,0.0,no,1,0.0,0.0,0.5496255,-0.37197196,0.5496255,-0.37197196
109,29248,0.0,27.0,10.0,yes,0,1.0,1.0,-0.8149527,-0.86310875,0.0,0.0
110,29808,1.0,25.0,2.0,yes,1,1.0,1.0,-0.8698999,-0.004245222,-0.8698999,-0.004245222
111,29996,0.0,23.0,5.0,no,0,1.0,1.0,-0.26659715,-0.7092723,0.0,0.0
112,30002,1.0,26.0,12.0,no,0,1.0,0.0,-0.34666067,-1.050139,0.0,0.0
113,30006,0.0,24.0,5.0,no,1,0.0,0.0,-0.22568052,-0.8762213,-0.22568052,-0.8762213
114,30014,0.0,30.0,5.0,no,1,1.0,0.0,0.16178729,0.00623167,0.16178729,0.00623167
115,30308,0.0,21.0,0.0,no,1,0.0,0.0,0.8232657,0.5490556,0.8232657,0.5490556
116,30448,1.0,23.0,30.0,no,1,1.0,0.0,-0.45293245,-1.1711373,-0.45293245,-1.1711373
117,30972,0.0,27.0,8.0,no,1,1.0,0.0,-0.6790612,-0.40128163,-0.6790612,-0.40128163
118,31136,0.0,23.0,8.0,no,0,1.0,0.0,-0.104429536,-0.44534174,0.0,0.0
119,31150,1.0,23.0,3.0,no,0,0.0,0.0,0.09572846,-0.23899499,0.0,0.0
120,31230,0.0,24.0,14.0,no,1,0.0,1.0,0.15558065,-0.7667371,0.15558065,-0.7667371
121,31292,0.0,27.0,4.0,no,1,0.0,0.0,0.7668246,1.1636603,0.7668246,1.1636603
122,31796,0.0,24.0,4.0,no,1,0.0,1.0,0.83750254,-0.5787887,0.83750254,-0.5787887
123,31888,0.0,27.0,8.0,yes,0,0.0,1.0,0.9744558,0.7477034,0.0,0.0
124,31936,0.0,25.0,17.727272,no,1,1.0,0.0,-0.28226873,-0.16618837,-0.28226873,-0.16618837
125,32320,0.0,22.0,4.0,no,0,0.0,0.0,0.33135656,0.049568646,0.0,0.0
126,32590,0.0,28.0,8.0,no,1,1.0,0.0,-0.59988534,-1.4734803,-0.59988534,-1.4734803
127,32804,1.0,23.0,8.0,no,0,1.0,0.0,-0.2203474,-0.4544279,0.0,0.0
128,33128,0.0,21.0,10.0,no,0,1.0,0.0,-0.2512566,-0.13933943,0.0,0.0
129,33278,0.0,20.0,12.0,no,0,0.0,0.0,-0.3152424,-0.14533153,0.0,0.0
130,33350,0.0,26.0,10.0,no,1,1.0,0.0,-0.9045217,-0.8018465,-0.9045217,-0.8018465
131,33354,0.0,21.0,4.0,no,0,0.0,0.0,0.37143752,0.08003516,0.0,0.0
132,33366,1.0,25.0,0.0,no,0,1.0,0.0,0.404652,-0.5822229,0.0,0.0
133,34890,1.0,24.0,10.0,no,0,1.0,0.0,-0.5882044,-0.5670305,0.0,0.0
134,35006,1.0,23.0,0.0,no,0,1.0,1.0,-0.075300135,-0.36245605,0.0,0.0
