,surveyno,satisfaction,general,life,personid,expgroup_treatment
706,2,6,83,18,40472,1.0
707,3,3,66,15,40472,1.0
708,4,5,70,15,40472,1.0
709,5,5,75,20,40472,1.0
710,1,5,75,19,40490,0.0
711,2,5,72,18,40490,1.0
712,3,5,69,19,40490,1.0
713,4,3,63,15,40490,1.0
714,5,3,66,18,40490,1.0
715,1,4,79,20,41286,0.0
716,2,4,74,20,41286,1.0
717,3,2,81,20,41286,1.0
718,4,2,72,23,41286,1.0
719,5,2,73,25,41286,1.0
720,1,6,81,16,41318,0.0
721,2,5,73,20,41318,1.0
722,3,6,79,30,41318,1.0
723,4,7,98,32,41318,1.0
724,5,7,99,26,41318,1.0
725,1,5,78,27,41818,0.0
726,2,6,73,28,41818,1.0
727,3,4,64,22,41818,1.0
728,4,5,69,28,41818,1.0
729,5,5,57,32,41818,1.0
730,1,4,78,10,42108,0.0
731,2,6,73,16,42108,1.0
732,3,6,70,7,42108,1.0
733,4,5,72,11,42108,1.0
734,5,5,76,18,42108,1.0
735,1,5,65,18,42140,0.0
736,2,5,55,20,42140,0.0
737,3,3,62,14,42140,0.0
738,4,3,62,19,42140,0.0
739,5,3,51,21,42140,0.0
740,1,5,78,28,42152,0.0
741,2,5,74,34,42152,0.0
742,3,5,84,34,42152,0.0
743,4,5,71,22,42152,0.0
744,5,4,64,22,42152,0.0
745,1,4,61,18,42592,0.0
746,2,5,72,23,42592,1.0
747,3,5,74,22,42592,1.0
748,4,5,75,34,42592,1.0
749,5,5,73,31,42592,1.0
750,1,5,88,22,42624,0.0
751,2,6,92,30,42624,1.0
752,3,6,99,26,42624,1.0
753,4,6,95,24,42624,1.0
754,5,6,93,16,42624,1.0
755,1,6,84,33,42628,0.0
756,2,6,79,29,42628,1.0
757,3,6,75,22,42628,1.0
758,4,6,74,26,42628,1.0
759,5,7,77,24,42628,1.0
760,1,4,67,22,42632,0.0
761,2,4,71,22,42632,0.0
762,3,4,68,18,42632,0.0
763,4,6,58,19,42632,0.0
764,5,4,60,20,42632,0.0
765,1,4,79,15,43258,0.0
766,2,5,67,21,43258,0.0
767,3,7,78,34,43258,0.0
768,4,6,69,22,43258,0.0
769,5,4,62,13,43258,0.0
770,1,5,87,24,43264,0.0
771,2,6,86,28,43264,1.0
772,3,5,85,23,43264,1.0
773,4,6,84,28,43264,1.0
774,5,5,84,31,43264,1.0
775,1,6,81,23,43270,0.0
776,2,7,95,26,43270,1.0
777,3,6,87,27,43270,1.0
778,4,6,88,27,43270,1.0
779,5,7,81,30,43270,1.0
780,1,5,86,28,43278,0.0
781,2,2,82,14,43278,1.0
782,3,7,99,28,43278,1.0
783,4,1,100,34,43278,1.0
784,5,6,98,32,43278,1.0
785,1,5,87,28,43286,0.0
786,2,4,60,20,43286,1.0
787,3,5,99,30,43286,1.0
788,4,5,75,20,43286,1.0
789,5,7,97,17,43286,1.0
790,1,6,89,28,43500,0.0
791,2,6,81,34,43500,0.0
792,3,6,68,28,43500,0.0
793,4,3,73,30,43500,0.0
794,5,2,73,28,43500,0.0
795,1,4,58,8,43534,0.0
796,2,3,42,12,43534,1.0
797,3,5,84,24,43534,1.0
798,4,4,70,16,43534,1.0
799,5,4,69,10,43534,1.0
800,1,5,76,30,43570,0.0
801,2,5,76,23,43570,0.0
802,3,5,80,19,43570,0.0
803,4,5,61,15,43570,0.0
804,5,3,63,29,43570,0.0
805,1,5,76,21,43926,0.0
806,2,5,74,21,43926,1.0
807,3,5,72,29,43926,1.0
808,4,3,66,16,43926,1.0
809,5,5,75,23,43926,1.0
810,1,7,88,38,44266,0.0
811,2,6,95,36,44266,1.0
812,3,6,84,27,44266,1.0
813,4,6,79,26,44266,1.0
814,5,6,77,26,44266,1.0
815,1,4,69,13,44282,0.0
816,2,4,60,14,44282,0.0
817,3,3,65,8,44282,0.0
