,personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
0,3906,96.0,1,0.0,1.0,0.0,0.08457301,0.3086204,0.3086204
1,4122,94.0,1,0.0,1.0,0.0,0.0004498826,0.70055944,0.70055944
2,4448,92.0,0,0.0,1.0,0.0,0.45590964,0.48866156,0.0
3,4942,82.0,1,0.0,0.0,0.0,0.9185098,-0.27536705,-0.27536705
4,5018,82.0,1,0.0,0.0,1.0,-0.3774435,-0.6063684,-0.6063684
5,5614,79.0,1,1.0,1.0,0.0,0.3699803,0.404642,0.404642
6,6278,77.0,0,0.0,0.0,0.0,-0.04005283,-0.09744056,0.0
7,6362,82.0,0,0.0,0.0,0.0,0.655319,-0.6200626,0.0
8,6364,82.0,0,0.0,0.0,0.0,1.4090424,-0.17028235,0.0
9,7068,72.0,0,0.0,0.0,0.0,0.27069876,-0.9988539,0.0
10,7076,72.0,0,0.0,0.0,0.0,0.0015328284,0.27479738,0.0
11,7488,70.0,1,0.0,0.0,0.0,0.45098305,1.2551696,1.2551696
12,7720,70.0,0,0.0,0.0,0.0,-0.68709767,-0.4546684,0.0
13,8522,66.0,0,0.0,0.0,0.0,0.23950015,0.06838997,0.0
14,8834,66.0,0,0.0,0.0,0.0,0.32067874,0.82531834,0.0
15,8854,66.0,1,0.0,0.0,0.0,0.6507793,0.9372251,0.9372251
16,8980,65.0,1,0.0,0.0,0.0,-0.031765454,-0.8631395,-0.8631395
17,9710,64.0,0,0.0,1.0,1.0,-0.7188639,-0.08590863,0.0
18,10098,63.0,0,0.0,0.0,0.0,0.07634852,-0.8143045,0.0
19,10226,62.0,1,0.0,0.0,0.0,-0.25819916,-0.20740296,-0.20740296
20,10356,62.0,1,1.0,0.0,0.0,0.2486563,0.15516685,0.15516685
21,10794,60.0,1,0.0,1.0,0.0,1.0376455,1.0985447,1.0985447
22,10822,60.0,1,0.0,1.0,0.0,0.60906583,1.2712617,1.2712617
23,11348,59.0,0,0.0,0.0,0.0,-0.845071,-0.8867802,0.0
24,11390,59.0,0,1.0,1.0,0.0,0.8765271,0.5659154,0.0
25,11868,57.0,1,1.0,0.0,0.0,0.15984595,-0.4786343,-0.4786343
26,12306,56.0,0,1.0,0.0,1.0,-0.8903129,-0.9133242,0.0
27,12426,56.0,0,0.0,0.0,0.0,-0.69657344,-3.0309365,0.0
28,12896,54.0,0,0.0,0.0,0.0,0.34794605,0.20738654,0.0
29,12974,54.0,1,0.0,0.0,0.0,0.046489317,0.34228152,0.34228152
30,13530,53.0,1,1.0,0.0,0.0,-0.211109,-0.0635574,-0.0635574
31,13574,53.0,1,1.0,0.0,0.0,1.4744812,2.115367,2.115367
32,13710,52.0,0,1.0,0.0,0.0,0.34256855,0.03576275,0.0
33,13980,51.0,0,0.0,0.0,1.0,0.7973299,0.71896964,0.0
34,14048,51.0,1,0.0,1.0,0.0,0.59494865,0.2950435,0.2950435
35,14220,51.0,0,1.0,0.0,0.0,0.859708,0.68349785,0.0
36,14374,50.0,0,0.0,0.0,0.0,-0.050977934,-0.07639328,0.0
37,14382,50.0,0,0.0,0.0,1.0,0.66237736,0.995797,0.0
38,14384,50.0,0,0.0,0.0,0.0,0.032493778,0.23839492,0.0
39,14522,50.0,1,1.0,0.0,1.0,-0.96803975,-0.779422,-0.779422
40,14528,50.0,1,0.0,0.0,1.0,0.24274956,0.75252026,0.75252026
41,14532,50.0,1,0.0,1.0,0.0,0.25117934,0.54841286,0.54841286
